TITLE,COMPANY_NAME,LOCATION,QUALIFICATIONS,SKILLS,JOBTYPE,,,,
AI/ ML Lead Architect,Adobe,"Bengaluru, Karnataka",['MS/MTech/B.Tech in Computer Science'],"['Natural Language Processing', 'Spark', 'Keras', 'Deep Learning.', 'SciPy', 'data collection', 'Hadoop', 'PyTorch', 'Scikit-learn', 'algorithms', 'Torch', 'Gensim', 'Pandas', 'machine learning models', 'Recommendation Systems', 'Caffe', 'Tensorflow', 'Python', 'distributed computational frameworks', 'machine learning libraries', 'distributed computing', 'AI/ML', 'Numpy', 'multi-threaded programming', 'Machine Learning', 'NLP models', 'data structures', 'Information retrieval', 'YARN', 'Java']",,,,,
AI-ML Architect,Camsdata,"Bengaluru, Karnataka","['Experience 10 to 15 Yrs', '10+ years of experience developing systems software on Windows or Linux.']","['microservices architecture', 'CUDA programming', 'Deep Learning', 'Python programming', 'developing/training or tuning', 'Hands on experience', 'M Lops', 'C/C++ programming', 'Deep learning', 'building, training and optimizing neural network data analytics', 'DPC++', 'Caffe', 'Pytorch', 'automating deployment, management, scaling, networking with Dockers and Kubernetes.', 'cloud/distributed infrastructure.', 'OpenCL', 'Transfer Learning', 'web service development experience', 'Tens or flow', 'Vino', 'Federated learning techniques.', 'Reinforcement learning', 'Deep Learning frameworks']",,,,,
Experienced Software Engineer,BOEING,"Bengaluru, Karnataka","[""Bachelor's degree or higher Experience in Python"", ""8 to 12 years' related work experience or an equivalent combination of education and experience."", ""Bachelor's degree or higher Typical Education & Experience""]","['TRR', 'Develop automated/manual Test scenarios to test High Level and Low-Level Software requirements', 'SRR', 'Agile development model', 'Systems Thinking', 'version control', 'Develop test cases and test procedure for High Level and Low-Level Software requirements', 'communications skills', 'automated and functional testing', 'CDR', 'Software integration testing', 'collect, organize, synthesize, and analyze data', 'OOPS concept', 'PDR', 'C++', 'Analytical Skills']",,,,,
Lead Technical Product Owner,BOEING,"Bengaluru, Karnataka","[""13 to 16 years’ related work experience or an equivalent combination of education and experience (e.g. Master 12 to 15 years' related work experience Practical knowledge of software requirements development."", ""Master 12 to 15 years' related work experience Export Control Requirements""]","['AWS', 'Kubernetes.', 'Azure.', 'Microsoft Office', 'verbal and written English', 'Flight Management System', 'grammar.', 'Micro services based architecture', 'problem-solving aptitude', 'Docker', 'Distributed systems', 'public cloud', 'Analytical mind', 'story development.', 'Technical Understanding', 'Agile methodology', 'Defect management', 'Euro control B2B feeds']",,,,,
Experienced Scrum Master,BOEING,"Bengaluru, Karnataka","[""8 or more years' related work experience or an equivalent combination of education and experience (e.g. Master +8 years' related work experience."", 'Minimum 8 years’ experience in software development', '8-12 years) Practical knowledge of software requirements development.', 'at least 4-5 years successfully performing Scrum Master Role.']","['Internet and client/server architectures', 'Scrum', 'JAMA', 'XP', 'Micro services based architecture', 'servant leadership style', 'Docker', 'Actor Diagrams', 'guidance to team Humble –', 'Agile-Scrum', 'Crystal', 'Kanban', 'Azure.', 'problem-solving aptitude', 'Agile Games.', 'Analytical mind', 'creative thinking', 'AWS', 'verbal and written English', 'Knowledge of agile methodology', 'Mentorship skills', 'Agile', 'Kubernetes.', 'Microsoft Office', 'Scrum Master', 'grammar.', 'SCRUM MASTER', 'Distributed systems', 'public cloud', 'Technical Understanding', 'Leadership', 'JAMA JIRA Communication']",,,,,
Associate Embedded Avionics Software Engineer,BOEING,"Bengaluru, Karnataka","[""5 to 8 years' related work experience or an equivalent combination of education and experience."", ""E.g. Master + 3 years' related work experience)"", 'Bachelor or Master of Engineering degree and 3+ years of related work experience in Embedded Avionics System Software development, Validation/Verification, Functional Integration and certification.', 'Bachelors or higher degree is required.']","['Project/Build/configuration management tools', 'Agile development processes and tools', 'Atlassian Tool Suites', 'designs algorithms, interfaces, for software systems.', 'Systems Thinking', 'version control', 'communications skills', 'automation strategy', 'test processes', 'Strong Avionics domain knowledge', 'Software Build', 'Python.', 'build and configuration management tools', 'programming skills', 'development/verification process', 'C++', 'Analytical Skills']",,,,,
Associate Manufacturing Engineer,BOEING,"Bengaluru, Karnataka","['Bachelor degree in engineering, preferably in Mechanical / Aerospace / Aviation / Production Engineering from an accredited university with 2-4 years’ experience in aerospace domain Relocation This position offers relocation based on candidate eligibility.']","['Model Based Instructions', 'problem solving', 'written, oral and interpersonal communication skills.', 'MS Office tools', 'fluent in written and spoken English', 'positive attitude']",,,,,
Associate Software Engineer in Test,BOEING,"Bengaluru, Karnataka",['6 or more years of related work experience or an equivalent combination of education and experience (e.g. Masters +5 years of related work experience)'],"['Azure Monitor', 'Microservice architecture', 'system monitoring tools', 'RabbitMQ', 'UI', 'Knowledge of Entity Framework Core', 'Scrum/Agile development', 'Knowledge of Relational Databases', 'static analysis tools', 'testing API', 'TypeScript', 'Good English skills', 'unit testing frameworks', 'MSSQL', 'test automated framework/automated tests', 'Synopsys Coverity', 'C#', 'SonarQube', 'CI/CD pipelines', 'TestCafe', 'CI/CD tools', 'Azure AppInsight)', 'xUnit', 'REST API principles', 'Jasmine', 'Agile Test Matrix', 'automated testing frameworks']",,,,,
Experienced Electronic System Design & Analysis Engineer,BOEING,"Bengaluru, Karnataka","['Bachelor, Master or Doctorate of Science degree from an accredited course of study, in engineering, computer science, mathematics, physics or chemistry 8 years of experience in Systems Electronics Work experience in systems engineering- Electronics', ""Bachelor's in engineering degree or higher 8+ years experience' with Bachelors in Electrical/Electronics Engineering or experience or 6+ years years experience' with Masters in Electrical/Electronics Engineering or any equivalent degree Relocation""]","['mentor and guide subordinates and partners to accomplish project and departmental goals and objectives.', 'written and verbal communication skills', 'written English', 'Communication', 'Systems engineering experience', 'positive demeanor', 'Ability to understand the big picture', 'prepare comprehensive reports, proposals, Statements of Work, and connect technology to business considerations (e.g., ROI)', 'proficient in English', 'communication style.', 'MS Office tools.']",,,,,
Experienced Mechanical Design and Analysis Engineer,BOEING,"Bengaluru, Karnataka","[""Bachelor's degree or higher"", ""Bachelor from accredited university in engineering preferably in Mechanical / Aerospace Aeronautical with typically 9 to 12 years' related work experience or an equivalent combination of education and experience (e.g. Master+8 years of related work experience etc.""]","['Mechanical Engineering', 'fluent in written and spoken English.', 'Electrical Engineering', 'Tubing', 'mechanical design', 'Part design', 'written, verbal and interpersonal communication skills.', 'Geometric dimension and tolerance', 'material properties', 'Sheet metal', 'stress analysis', 'Drafting Proficiency', 'Sheet metal design', 'Unigraphics/NX, Solid works)', 'Assembly design', 'structural design', '3-D Computer Aided Engineering tools', 'Model Based Definition and PLM software', 'DFM', 'Generative shape design']",,,,,
