TITLE,COMPANY_NAME,LOCATION,QUALIFICATIONS,SKILLS,JOBTYPE,,,,
Data Engineer,Saama Technologies Inc,"Chennai, Tamil Nadu",['Graduation or any equivalent qualification from a reputed institute 2-6 years of experience'],"['analytics tools', 'SQL', 'AWS ‘big data']",,,,,
Big Data Engineer,Mobile Programming LLC,"Chennai, Tamil Nadu",,"['Kafka', 'Hadoop', 'Kerberos', 'Spark', 'SQL development', 'Python/Scala', 'object-oriented language', 'Hive', 'multi-threading and concurrency concepts.', 'Agile Principles/Scrum/Kanban', 'impala', 'using Big Data stack', 'OOZIE', 'Impala']",['Full-time'],,,,
Big Data Engineer,BSRI Solutions,"Chennai, Tamil Nadu",,"['Athena/SQL', 'Cloudwatch', 'Terraform/CloudFormation', 'AWS', 'DynamoDB Athena', 'kinesis firehose', 'Kinesis Firehose', 'JSON Parquet', 'Kinesis Streams', 'SQS', 'CI/CD pipelines', 'AWS kinesis streams', 'DynamoDB', 'IAM', 'SNS', 'PyTesting', 'Automate scripts', 'Lambda', 'SQL IAM Lambda', 'Git Lab']",,,,,
MDM Profisee Engineer/Specialist - Data Profiling & Validation,resourcetree,"Chennai, Tamil Nadu","['at least 3-6 years experience in Data engineering', 'Years of Experience : 3 - 6 Years Job Description']","['Data Analysis', 'presentation communication', 'Good Knowledge and Understanding of Data warehouse concepts (Dimensional Modeling', 'change data capture', 'unit testing', 'documentation processes', 'ETL Concepts', 'Hadoop', 'documentation', 'noSQL', 'Data engineering', 'MDM matching rules', 'data validation', 'NoSQL', 'coding', 'analytical skills', 'Data Profiling', 'managing technological infrastructure of a data platform', 'Sound aptitude', 'PowerShell scripting', 'SQL', 'Kafka', 'problem solving', 'SQL programming', 'Shell / PowerShell scripting', 'logical reasoning', 'Shell', 'written,', 'SQL / PL SQL programming', 'BI tools', 'Data validation']",['Full-time'],,,,
Data Engineer 4,Comcast,"Chennai, Tamil Nadu","[""Bachelor's Degree"", 'Experience 7-10 Years Base pay']","['technical leadership', 'knowledge of engineering methodologies']",,,,,
Data Scientist 1,PayPal,"Chennai, Tamil Nadu","['Bachelor’s Degree or above in one of the following: economics, finance, engineering, exact sciences, etc. (MBA – an advantage)', '2+ years of work experience in relevant positions (e.g. Decision scientist, data analyst, statistician, data scientist, FP&A, product/process manager, risk management, army intelligence units)']","['R', 'fast learner', 'problem solver', 'Python', 'Quick-thinker', 'English verbal and written communication skills', 'strong analytical skills', 'wide general knowledge', 'analytical skills', 'SQL', 'communication']",,,,,
Data Engineer,Ford Motor Company,"Chennai, Tamil Nadu","['3+ years of experience', 'Bachelors Degree 3+ years of experience with SQL and Python 2+ years of experience with GCP or AWS cloud services', 'M.S. in a science-based program and/or quantitative discipline with a technical emphasis.', '5+ years in a traditional data warehouse environment']","['big data', 'Spark', 'machine learning tools and platforms.', 'Pub/Sub.', 'cloud technologies', 'analytic software tools', 'Dataflow', 'Hadoop', 'Kafka.', 'Data Engineering skills', 'Cloud Functions', 'BigQuery.', 'SQL Server', 'GCP cloud services', 'written and interpersonal communication skills', 'Apache Spark', 'EL/ELT/ETL pipelines', 'Cloud Composer', 'JavaScript.', 'Scala', 'technical data', 'BigQuery', 'analytics', 'CloudSQL', 'GCS', 'Hive']",,,,,
Sr. Big Data Engineer,Taggd,"Chennai, Tamil Nadu",,"['SQL', 'EMR, EC2, S3, Athena, Airflow, Lambda (Any)', 'AWS', 'Team management experience']",['Full-time'],,,,
Spark Data Engineer,Servion Global Solutions,"Chennai, Tamil Nadu","[""Bachelor's or Master's degree in Computer Science, Data Engineering, or a related field""]","['caching, broadcasting, and data partitioning', 'error handling', 'Python programming languages', 'version control systems', 'data profiling', 'data cleansing', 'Hadoop', 'Spark SQL', 'data integration', 'data encryption', 'DevOps', 'data masking', 'Apache Spark', 'data access controls', 'problem-solving skills', 'Git', 'functional programming concepts', 'Spark MLlib', 'data modeling', 'validation APIs', 'Scala', 'HBase', 'data validation APIs', 'data processing', 'Scala or Python', 'Kafka', 'Spark Core', 'data validation rules', 'Hive', 'Spark Streaming', 'Spark Experience']",,,,,
Software Engineer – Data,Sysvine Technologies,"Chennai, Tamil Nadu",,"['AWS EMR Good', 'Spark', 'MySQL', 'DBA', 'DB', 'Data Warehousing', 'data analytics', 'Azure Databricks', 'AWS', 'Data Pipelines', 'cloud data services', 'DBA Jobs in Chennai', 'MS SQL', 'Pentaho', 'ETL development', 'NoSQL', 'Database', 'Building data warehouses', 'MYSQL', 'RDBMS', 'ETL', 'Analytics', 'Tensorflow', 'MongoDB', 'cool visualizations.', 'Big Data', 'Big data knowledge', 'SQL', 'Talend', 'CouchDB', 'Data Management', 'PostgreSQL', 'Azure', 'data marts.']",,,,,
Data Science Engineer 4-2,Comcast,"Chennai, Tamil Nadu",['Experience 7-10 Years Base pay'],"['machine learning techniques', 'guidance and leadership']",,,,,
DevOps Engineer 2,Comcast,"Chennai, Tamil Nadu","['Experience 2-5 Years Base pay', ""Bachelor's Degree""]",,,,,,
Data Operation Support Engineer NFSA,Renault Group,"Chennai, Tamil Nadu",,"['relational databases', 'Sage Maker', 'skills', 'MS Excel', 'working SQL', 'CI/CD using Jenkins/Gitlab', 'monitoring and optimizing ‘big data’ data pipelines', 'AWS Services', 'Big data tools', 'query authoring', 'SQL', 'change management']",,,,,
Data Visualization Architect,South Nests Software Solutions,"Chennai, Tamil Nadu",['minimum 2 years of experience in the same role.'],"['good analytical, planning and implementation skills.', 'Business Intelligence Development', 'highly motivated', 'visualization', 'Data warehousing', 'Dashboards using visualization', 'Power BI']",,,,,
Data Architect,Barclays,"Chennai, Tamil Nadu",['Educated to degree or MBA level to be able to meet the intellectual demands of the job'],"['JSON', 'Data Models', 'honesty', 'RDMBS', 'APIs', 'humility', 'encryption to the level', 'NoSQL', 'ETL', 'obfuscation', 'transparency', 'Logical Data Model', 'data formats', 'Good understanding of distributed systems and databases', 'Data Design', 'access management']",,,,,
Solution Architect,NOKIA,"Chennai, Tamil Nadu",,"['data models', 'interface design document', 'documentation.', 'process design document', 'sequence diagrams', 'data flow diagrams', 'High-Level design']",,,,,
"Database Lead (Data Architect, MySQL & MongoDB)",Nihon Technology Pvt. Ltd.,"Chennai, Tamil Nadu",,"['APIs.', 'Agile', 'NoSQL', 'DevOps', 'Networking/Security domain experience', 'RDBMS']",,,,,
Data Architect,Sanguine Technologies,"Chennai, Tamil Nadu","['6-8 years experience in creating logical and physical data models for large complex applications', 'B.TECh/MCA/M.TECH']","['Oracle', 'data analysis', 'modeling.', 'data architecture', 'SQL Server']",,,,,
BI Architect,DHL,"Chennai, Tamil Nadu","['At least 3 years of architecture responsibilities in large, sophisticated organization with high volume/high BI environment.', 'Minimum 8 years of multi-disciplined IT experience', 'Advanced University Degree in Computer Science or Information Systems or equivalent education.']","['preparing architect reports', 'results-oriented', 'management', 'data orchestration', 'supervising system migrations.', 'Snowflake or similar Cloud data solutions', 'data modeling', 'technical background', 'visualization tool', 'problem-solving abilities.', 'communication skills', 'data analysis', 'BI data modeling.', 'Datawarehouse data model design', 'Big Data', 'Tableau.', 'Power BI', 'documentation.', 'monitoring the system', 'ETL/ELT tools', 'AWS.', 'analytical and', 'data warehouse', 'Azure']",,,,,
Data Integrations Architect Support,Barclays,"Chennai, Tamil Nadu",,"['honesty', 'humility', 'transparency', 'Knowledge of the HR Domain as SME and Business Analysis', 'fairness', 'documentation', 'data manipulation']",,,,,
Data Privacy Protection Client Data Protection Architect,Accenture,"Chennai, Tamil Nadu","['BE, Btech 15 years of full time education', 'Work Experience :6-8 years Work location']","['Proficient in English oral and written Educational Qualification', 'Good communication skills']",,,,,
Data Warehouse Engineer,Larsen & Toubro Limited,"Chennai, Tamil Nadu",['B Tech/B.E. in computer science or any other allied fields from top schools.'],"['Big data & distributed computing platforms', 'designing and building frameworks', 'Kafka Spark streaming', 'Kinesis Distributed compute solution', 'Kafka', 'S3', 'data analytics', 'Python', 'AWS Firehose', 'Data Warehouse', 'NoSQL', 'data modelling', 'high level, and low-level design.', 'Data Lake', 'AWS', 'Cassandra', 'Apache Spark', 'CI/CD automation', 'Kafka.', 'Hive', 'unit testing and test automation techniques', 'Spark Storm', 'Google.', 'Athena']",,,,,
Backend Architect,Insight Therapy Solutions,"Chennai, Tamil Nadu","[""Bachelor's degree in Computer Science or a related field."", '5+ years of experience in backend development']","['Node.js.', 'Work from home', 'Node.js', 'Micronaut', 'technical leadership', 'FHIR is', 'JSON.', 'highly self-motivated', 'MongoDB', 'HTTP principles', 'SNOMED-CT.', 'problem-solving skills', 'Express.js', 'Excellent verbal and written communication skills.', 'Koa.js', 'PostgreSQL', 'Sound API design', 'RESTful APIs', 'XML/JSON-based web services', 'Strong understanding of data security and privacy regulations such as HIPAA.', 'documentation', 'Nest.js', 'database design', 'Java', 'OAuth', 'Spring Boot']",['Full-time'],,,,
Data Analytics Solution Architect,Recode Solutions,"Chennai, Tamil Nadu",['15 to 20 years of experience as a leader in Services industry specialized in Enterprise Business Intelligence architecture.'],"['Data Discovery', 'data stewardship principles', 'relationship management', 'Strong interpersonal and consultative skills.', 'support documentation skills.', 'Cloud DB Experience', 'Cloud Data Integration', 'data governance practices', 'integrity', 'architecting solutions', 'Enterprise Data Architecture', 'professionalism', 'Data Warehouse', 'Strong facilitation and consensus building skills.', 'management.', 'technical architecture', 'Strong facilitation', 'technical support documentation skills.', 'Data Visualization', 'Excellent technical architecture', 'metadata management best practices.', 'written and oral communication', 'data standards', 'consensus building skills.', 'listening skills.', 'expertise in enterprise data strategy', 'Enterprise Data Warehouse Platform']",,,,,
Solution Architect,Barclays,"Chennai, Tamil Nadu",,"['honesty', 'Understanding of Banking and Financial Services Industry.', 'humility', 'Agile', 'transparency', 'Integrity', 'Project Management', 'CMDB asset management', 'Waterfall.', 'Understanding of Trade and Working Capital domain.']",,,,,
Database Enterprise Architect,Larsen & Toubro Limited,"Chennai, Tamil Nadu",,"['Mango DB', 'DynamoDB', 'MariaDB', 'analysis, design, coding, testing, deploying and supporting of applications', 'Kafka', 'Oracle', 'MSSQL', 'Database Warehousing', 'Postgres', 'MongoDB', 'NoSQL', 'Data Model Techniques', 'L & T DC', 'PostgreSQL', 'presentation skills', 'Maria DB', 'data warehousing', 'data stores', 'communication', 'Data Cloud Architecture', 'MYSQL.', 'relational database servers', 'Cassandra', 'HA/DR/Backup/Maintenance strategies for cloud', 'MySQL', 'Data Architecture', 'leadership']",,,,,
Data Encryption Security Architect,Accenture,"Chennai, Tamil Nadu","['Experience :4-6 years Work location', '-Bachelor or college degree in related field or equivalent work experience 15 years of full time education']","['Oracle MS SQL Agents', 'Good Communication presentation', 'Encryption requirements', 'unstructured data encryption', 'HSM Cipher Trust KMS']",,,,,
Architect,DHL,"Chennai, Tamil Nadu","['Minimum 10 years of multi-disciplined IT experience', 'Advanced University Degree in Computer Science or Information Systems or equivalent education.', 'At least 5 years of architecture responsibilities in large sophisticated organization with high volume/high BI environment.']","['preparing architect reports', 'data analysis', 'Teradata or Snowflake technology', 'BI data modeling', 'documentation.', 'monitoring the system', 'management', 'analytical and problem-solving abilities.', 'Datawarehouse data model design', 'supervising system migrations.', 'communication skills']",,,,,
Associate Manufacturing Engineer,BOEING,"Chennai, Tamil Nadu","[""Bachelors in Engineering (Mechanical/ Aerospace /Industrial/ Production/ or Equivalent) and typically 5 to 8 years' related work experience or an equivalent combination of technical education and experience (e.g. Masters in Engineering + 4 years' related work experience)"", ""Bachelor's degree or equivalent  Preferred Qualifications"", ""Bachelor's degree or equivalent Typical Education & Experience"", '4+ years of experience involved with production / manufacturing engineering planning role.']","['critical thinking', 'authoring assembly work instructions.', 'CATIA/NX Modelling', 'problem solving.']",,,,,
Technical Support Engineer,Siemens,"Chennai, Tamil Nadu","['B.E/B.Tech degree – equivalent or higher.', '1-4 yrs. of experience']","['time management', 'initiative', 'professionalism.', 'multitasking', 'problem solving', 'MS Office', 'Strong analytical', 'Highly proficient in English.', 'decision-making skills.', 'ownership.', 'communication', 'strong interpersonal skills.', 'Phone support experience with international clients.']",,,,,
AutoCAD Design Engineer,Fantabee IoE Labs,"Chennai, Tamil Nadu",['Experience: 2-5 Years Role & Responsibilities Perform AutoCAD and generate GA drawings.'],"['Ability to read, understand and interpret wireless specifications.', 'analytical', 'Microsoft Word', 'Excel', 'communication', 'problem-solving skills.', 'documentation']",['Full-time'],,,,
Edge (IOT Platform Engineer),Sage IT India,"Chennai, Tamil Nadu",,"['5G', 'Lorawan', 'Zigbee']",,,,,
Electrical Design Engineer,Siemens,"Chennai, Tamil Nadu",['graduate in Electrical Engineering with 2 to 5 years of relevant experience in designing of Electrical products/system exposed to production environment.'],"['Low Voltage', 'Zuken E3 ECAD applications']",,,,,
Instrumentation Engineer,"RBG Labs, IIT Madras","Chennai, Tamil Nadu",['At least five years of Industry experience'],"['Microsoft Office Proficiency', 'verbal', 'Strong analytical and problem-solving skills', 'Computer-aided design', 'CAD', 'written communication skills']",['Full-time'],,,,
Test Automation Engineer,Siemens,"Chennai, Tamil Nadu",,"['Selenium', 'developing test frameworks and automation solutions using', 'Java/C# technologies', 'Good analytical and problem-solving skills', 'test strategies', 'Cucumber.', 'framework development skills.', 'automation testing', 'Ranorex.', 'framework development', 'Java', 'Appium.', 'Rest Assured APIs.', 'Postman', 'verbal and written communication.', 'Postman.', 'Building, executing, and supervising automated test suites', 'performance testing', 'coding and test automation.', 'Self-motivated', 'C#', 'system testing', 'Jest.', 'C#.NET,', 'web automation', 'Java programming and debugging skills', 'API testing', 'custom test automation frameworks.', 'TestNG', 'test automation tools', 'Developing automation scripts', 'quick learner', 'Ranorex', 'testing knowledge/skills']",,,,,
Systems Engineer - MES,Siemens,"Chennai, Tamil Nadu",,,,,,,
DevOps Engineer,Rapiddata technologies,"Chennai, Tamil Nadu",,,,,,,
Application Support Engineer (German),Siemens,"Chennai, Tamil Nadu","['B2 & Above. Excellent Communication & socially confident.', '0-4 yrs. of experience', 'Any Bachelors Degree. (B.E/B.Tech preferred) Experience']","['professionalism.', 'Analytical', 'Critical thinking', 'German Proficiency', 'English.']",,,,,
Project Engineer,Siemens,"Chennai, Tamil Nadu",['Experience 3 - 5 years'],"['customer service skills', 'Salesforce', 'problem-solving skills', 'time management skills', 'Strong communication skills']",,,,,
Embedded Software Engineer /Firmware Developer,Nesh Technologies Pvt Ltd,"Chennai, Tamil Nadu",['2 years to 4 years of Industry experience.'],"['UART,SPL,L2C,LIN and Memory', 'understanding of LWIP, mBED TLS,secure Cloud Communication', 'RTOS based development', 'UDS Protocol understanding and work Experience such as ISO14229,ISO15765,J1939 and Others.']",,,,,
Manager - New Product Development,KR AUTO COMPONENTS,"Chennai, Tamil Nadu",,,"['Day shift Morning shift', 'Full-time, Regular / Permanent Salary']",,,,
Product Manager- Mechanical,Larsen & Toubro Limited,"Chennai, Tamil Nadu",,"['client management skills', 'communication skills']",,,,,
Product Manager,Larsen & Toubro Limited,"Chennai, Tamil Nadu","[""Bachelor's degree; in computer science or related technical discipline preferred.""]","['stakeholder management skills', 'leadership', 'Service/Portfolio Management', 'product management']",,,,,
Product Manager-Surgical/ Pharma,Peerless Biotech Private Limited,"Chennai, Tamil Nadu","['Minimum 3 Years & above', 'Less than 3 years', 'a MBA Graduate in Marketing / Good Marketing experience.']",,"['Full-time, Regular / Permanent']",,,,
Product Manager,Meithee Tech Private Limited,"Chennai, Tamil Nadu",['Bachelor’s or Master’s degree in Computer Science or related field from a top university.'],"['leadership', 'team player', 'communication skills', 'Agile methodologies', 'mentoring skills', 'Computer Science fundamentals', 'problem-solving skills.', 'Strong analytical and problem-solving skills', 'organizational skills']","['Full-time', 'Full Time.']",,,,
Product Manager- Computer Science,Larsen & Toubro Limited,"Chennai, Tamil Nadu","[""Bachelor's or Master's degree in a relevant field (e.g., Computer Science, Information Technology)""]","['Results-oriented mindset', 'Analytical mindset', 'LMS', 'project management skills', 'learning management systems', 'communication']",,,,,
Product Manager,OJCommerce,"Chennai, Tamil Nadu",,"['Excel', 'digital marketing', 'navigate a dynamic and complex ecosystem.', 'written and verbal communication skills']",['Full-time'],,,,
Product Manager,Ford Motor Company,"Chennai, Tamil Nadu","['3+ years of experience', ""Bachelor's degree in Computer Science, Engineering field, Business""]","['product management techniques', 'leadership', 'Agile/XP methods', 'eXtreme Programming', 'communication skills', 'story maps', 'Lean/Lean Startup thinking', 'human-centered product development', 'Scrum', 'Agile Software development', 'Framing and Scoping documents', 'build skills.', 'Kanban', 'Mentor', 'Agile software methodologies']",,,,,
Product Sales Manager-TRANSACTION BANKING-Sales,Kotak Mahindra,"Chennai, Tamil Nadu",['MBA /CA 5 to 6 years of experience in trade finance and cash management.'],,,,,,
"Lead Manager, Product Management",BNY Mellon,"Chennai, Tamil Nadu","['Bachelors degree or the equivalent combination of education and experience is required.', 'Advanced/graduate degree preferred 12-15 years of total work experience preferred with at least 3-4 years in management preferred.']",,,,,,
Sr. Technology Product Manager,BNY Mellon,"Chennai, Tamil Nadu",,"['communicator', 'Influencer', 'Agile']",,,,,
Product Manager,Maersk,"Chennai, Tamil Nadu",,"['Creative thinker', 'SAP', 'Change Management', 'stakeholder management skills.', 'Lean Six Sigma', 'good understanding of the ARIS process map', 'communication skills.', 'Collaborative mindset', 'Cross-cultural understanding.', 'Transformative', 'Conflict resolution skills.', 'Maersk-trained or certified Yellow/Green Lean Six Sigma', 'strong and persuasive mindset.']",,,,,
Product Manager - India,Vendasta,"Chennai, Tamil Nadu",['Bachelor’s Degree in Computer Science or an applicable field'],"['communication skills', 'leadership workshops', 'leadership capabilities', 'savvy', 'big-picture vision', 'Advertising Intelligence', 'problem-solving']",,,,,
Associate Product Manager,Disprz,"Chennai, Tamil Nadu","['At least 1 year in a product management role or a role that involved you making strategic decisions for a product Exposure to Agile / Scrum-based development methodologies', 'Minimum 2 years’ experience in technology product management companies', 'Engineering degree from a top school with a strong academic record in quantitative sciences Business school specialisation in Business or Product Management Completed certifications in project management / product management experience']","['think strategically', 'communication skills', 'Strong analytical and quantitative ability', 'project management skills', 'management.']",,,,,
Software engineer Intern 2023 pass,DCS India,"Chennai, Tamil Nadu",['10-12 weeks program between June and September 2023.Experience in systems software or algorithms.Experience'],"['C#', 'Objective-C', 'Computer Science', 'JavaScript', 'Go', 'Python', 'Java', 'C/C++']",,,,,
HVDC - Digital Twin Content and Maintenance Engineer,Hitachi Energy,"Chennai, Tamil Nadu","['Minimum 2-5 Years of experience in Autodesk suite, Navisworks, Solidworks and NX typically from EPC background.', ""A Bachelor's degree in Electrical/Mechanical Engineering or related discipline.""]","['communicative', 'collaborative skills', 'Single Line Diagrams']","['Full time', 'Internship']",,,,
Full Stack Developer Intern,Qwk,"Chennai, Tamil Nadu",,"['JavaScript', 'React.js.', 'problem-solving', 'Object oriented programming', 'Node.js/', 'highly motivated', 'Agile', 'Node.js', 'Data structure', 'written and verbal communication skills.', 'analytical skills.', 'React.js', 'in english.']",['Full-time'],,,,
Data Scientist,IDP Education Ltd,"Chennai, Tamil Nadu","['Postgraduate qualification in statistics, data science, computer science, or mathematics']","['Python', 'Data Science', 'Strong SQL skills', 'Strong communication skills']",,,,,
Control Systems Engineer - Intern,Raptee Energy,"Chennai, Tamil Nadu",,"['mathmatical models', 'two-wheeler cornering characteristics', 'data acquisition systems', 'mathematical models', 'Data-Acquisition systems', 'Matlab', 'Altair Suite']",,,,,
iOS Developer(Intern),Webnexs,"Chennai, Tamil Nadu",,"['Objective-C', 'Git', 'cloud message APIs', 'push notifications', 'RESTful APIs', 'Core Animation', 'Cocoa Touch', 'Swift', 'Mercurial', 'Core Data', 'versioning tools', 'SVN', 'low-level C-based libraries', 'problem solving']",['Full-time'],,,,
Civil Engineering Intern,Charis Construction Private Limited,"Chennai, Tamil Nadu",,"['Good written and verbal communication skills', 'Strong understanding of engineering principles, theories, and concepts', 'Knowledge of AutoCAD and other design software', 'highly motivated']",,,,,
Lead Engineer - CAE,Mahindra & Mahindra Ltd.,"Chennai, Tamil Nadu",['B.E Mechanical (Min First class) M.Tech/M.E - Machine Design'],"['Engineering Mechnaics', 'Noise Vibration and Harshness.', 'Multibody simulations']",,,,,
MS Engineer,NTT Ltd.,"Chennai, Tamil Nadu","['2 - 4 years’ work experience or completion of relevant intern program 1 to 2 years of experience with troubleshooting and providing support required in network/ data centre/ systems/ storage administration and monitoring Services within a medium to large ICT organisation.', '15 years of education', 'Diploma, degree or relevant qualification in IT/Computing (or demonstrated equivalent work experience)']","['Knowledge Management', 'Incident Management', 'DHCP', 'Incident management', 'DNC', 'knowledge management systems', 'MS-Office', 'SSL VPN Security Appliances', 'Video', 'SonicWall Firewalls', 'Data Center', 'WINS', 'Configuration Management']",,,,,
Full stack developer,adyog,"Chennai, Tamil Nadu",['3+ years experience working on production-quality Node apps'],"['Javascript frameworks', 'Javascript', 'Angular']",['mid-level Software Engineer'],,,,
"Intern, Machine Learning",Comcast,"Chennai, Tamil Nadu",,"['Speech Recognition/Audio Analytics', 'Deep learning', 'good programming and software development skills', 'Recommendation Systems', 'Multi-domain natural language understanding', 'Data Science', 'Computer Vision', 'Machine Learning', 'large-scale machine learning', 'speech Bandit algorithms/reinforcement learning', 'Machine learning', 'conversational dialogue', 'NLP', 'Artificial Intelligence', 'Reinforcement Learning']",,,,,
HackerKid Junior Mentor Intern,GUVI GEEK NETWORK PRIVATE LIMITED,"Chennai, Tamil Nadu","['Bachelor’s or Masters’s degree in Computer Science, IT, or Computer Applications needed.']","['C#', 'DS libraries(NumPy', 'Polite', 'Soft Spoken5', 'JavaScript', 'Game Development', 'Web Development', 'CSS3', 'Organizing Ability4', 'Firebase', 'Data Science', 'Good communication skills in English2', 'Python & PyGame', 'Unity', 'Technical Expertise in Fundamentals of Computer Science3', 'HTML5', 'communication.', 'App Development', 'Php', 'MySQL', 'Flutter']","['Full-time', 'Internship']",,,,
IT Intern,iLink Digital,"Chennai, Tamil Nadu",,"['Knowledge in Virtual environments', 'Good communication Skills']",,,,,
Programming Interns (3-4 months),Fifth Generation Technologies,"Chennai, Tamil Nadu","['Second year MSc/MTech students with focus in Computer Science, Computer Applications, Information Technologies, or Data Science.']","['market research techniques', 'data collection and analysis methods']",,,,,
Full Stack Developer Intern,Kaalateck,"Chennai, Tamil Nadu","['Exp: 6 + years Location: Singapore Roles & Responsibilities:', 'a bachelor’s degree in computer science or computer Engineering']","['React', 'REST', 'Full-stack development', 'MariaDB', 'Spring Boot', 'Proxy', 'JavaScript', 'MS SQL.', 'JSON', 'Bitbucket', 'End to End integration experience of Microservices with front end system.', 'SVN', 'GitHub', 'APIs and microservices', 'Spring Cloud Gateway.', 'CI-CD', 'HTML', 'Confluence', 'CSS', 'Al', 'relational database concepts.', 'Spring Framework', 'Oracle', 'Angular', 'Amazon Web Services', 'JIRA', 'Fortify', 'CI/CD)', 'MVC architectures', 'Hadoop', 'Sonarqube', 'SOAP', 'Java', 'NexuslQ-Sonatype.', 'Java Spring Framework', 'Jenkins', 'Git', 'Write automated unit, feature and regression test suites.']",['Full-time'],,,,
Senior Analytics Consultant,WELLS FARGO BANK,"Chennai, Tamil Nadu","['Bachelors, M.A./M.Sc. College Degree or Higher in applied mathematics, statistics, engineering, physics, accounting, finance, economics, econometrics, computer sciences, or business/social and behavioral sciences with a quantitative emphasis.', '3 year programming in SQL.', '1+ years of Oracle experience', '5+ years of Analytics experience.']","['stress performance testing', 'collaboration', 'writing manual and automated test scripts', 'data integration', 'quickly learn business operations and processes', 'written and verbal communication skills.', 'leadership', 'database structures', 'data management', 'Data ETL', 'Tableau', 'Jira.', 'data warehouses.', 'flexibility', 'PowerBI,', 'interpersonal communication skills', 'JQL', 'data analysis', 'manual testing and integration testing']",,,,,
Software Developer I (Show Systems),DNEG,"Chennai, Tamil Nadu","['2+ years of non-intern experience in professional software development.', 'Bachelor’s degree in Computer Science or equivalent subject or equivalent work experience.']","['service-oriented architectures', 'container technologies.', 'Scrum framework.', 'VFX environment', 'written and verbal communication skills.', 'Agile development experience', 'Python 3', 'Python.']",,,,,
Software Developer II (DNA),DNEG,"Chennai, Tamil Nadu",['Bachelor’s degree in Computer Science or equivalent subject or equivalent work experience.'],"['version control', 'C++.', 'Boost', 'algorithms', 'CI/CD practices.', 'design patterns', 'task dispatching', 'automated testing', 'written and verbal communication skills.', 'coding standards', 'Python programming.', 'boost python', 'Excellent analytical and debugging skills.', 'TBB.', 'schema design.', 'data modeling', 'pybind11.', 'Qt', 'scene assembly', 'non-intern experience in professional software development.', 'C++', 'libraries and frameworks', 'data structures']",,,,,
AI ChatBot Developer,Celexa,"Chennai, Tamil Nadu","['B.E. / MCA / MS IT / BCA / B.Sc. (Comp.Sci.', 'Minimum 1+yrs experience required in Chatbot Development.']","['Python', 'Cassandra Rasa', 'NLP', 'rasa', 'wit', 'Artificial Intelligence', 'Azure Composer', 'SQL DB', 'Facebook Messenger', 'Django', 'Natural-Language Processing', 'AI', 'PostgreSQL', 'Mongo DB', 'Machine Learning', 'SQL Db', 'MS SQL Mongodb', 'GIT XMPP', 'AWS', 'web framework', 'chatbot development tools', 'Natural Language Processing engines', 'Natural Language Processing', 'MySQL', 'Cassandra Knowledge/Experience', 'NLP Libraries', 'scikit-learn', 'Diagflow spaCy', 'dialogflow']",,,,,
"AI/ML, Chatbot Developer",Augray,"Chennai, Tamil Nadu",,"['Strong understanding of design patterns and architectural patterns.', 'node.js', 'php', 'BERT.', 'Strong python programming skills.', 'DevOps', 'MySQL.', 'MongoDB', 'Strong analytical skills.', 'Blender BOT.', 'data collection', 'building API(s', 'python flask.', 'Clean coding skills', 'GPT', 'RAZA']",,,,,
Unity Game Developer,Energetics AI,"Chennai, Tamil Nadu",,['unity developer'],"['Full-time, Regular / Permanent, Fresher Salary']",,,,
DEVELOPER (EDRC WWW),Larsen & Toubro Limited,"Chennai, Tamil Nadu",,"['Autodesk Forge', 'Building Information Modelling', 'Data Analytics', 'AI & ML Concepts', 'BIM', 'Object Oriented Programming', 'Unity', 'Decision-Making', 'Git version control', 'Communication skill', 'Navisworks API', 'Revit API', 'Unreal', 'handling APIs', 'Civil 3D API']",,,,,
Python Developer,Isolve Technologies,"Chennai, Tamil Nadu","['Graduates (B.E/B.Tech)', '3+ years of experience']","['Python', 'Deep learning.', 'AI/ML', 'machine learning', 'data engineering', 'Build, train, and deploy machine and deep learning models', 'Machine Learning algorithm', 'Pandas', 'Numpy', 'Django framework.', 'SQL', 'NOsql databases.', 'ML algorithms', 'machine learning.']",,,,,
Python Developer,Colan Infotech,"Chennai, Tamil Nadu",['Any graduate'],"['Python', 'deep learning frameworks', 'Natural Language Processing', 'Caffe', 'ORM', 'Keras', 'quick thinker', 'Object Relational Mapper', 'Django framework.', 'text data handling', 'Tensorflow', 'Theano', 'Coding experience', 'high-performance product development.', 'structured and un-structured database handling.', 'Torch', 'OpenCV.']",,,,,
Automation Developer,Williams Lea,"Chennai, Tamil Nadu","['1+ years’ experience in systems configuration/development, design-focused software development roles (e.g. using C#', '1+ years’ experience working with marker leading automation Platform', '1+ Years’ Consulting background with proven client facing experience', ""Bachelor's degree, preferably in Computer Science or related IT discipline"", '3-4 years’ experience in object oriented languages like .NET']","['VB', 'Python', 'JavaScript', '.NET Basic programming knowledge on', 'UiPath', 'Strong analytical and problem-solving skills', 'JSON', 'VBA', 'Databases', 'good analytical skills', 'Blue Prism', 'Agile & SCRUM', 'SQL', 'AI', 'NoSQL', 'Agile development methodology', 'presentation skills', 'IR,NLP,CAI, ML automation', 'Machine Learning', 'C#', 'templafy Software development background', 'challenging and enquiring mind', 'dealing with databases', 'excellent programming / software development background', 'HTML', 'scripting languages like Powershell', 'RPA -', 'Java', 'communication skill', 'understanding of workflow-based logic', 'C++', 'Understanding of workflow-based logic', 'Agile/Waterfall']",,,,,
